****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 15 threads.
Cross-validation will be performed.  Folds=10.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 28x416407
Performing five EM steps to prime main algorithm
218 (QN/Block) 	Elapsed: 3.758	Loglikelihood: -4.92961e+06	(delta): 15.1057
219 (QN/Block) 	Elapsed: 3.631	Loglikelihood: -4.92961e+06	(delta): -0.592156
220 (QN/Block) 	Elapsed: 3.787	Loglikelihood: -4.92961e+06	(delta): 7.477
221 (QN/Block) 	Elapsed: 3.655	Loglikelihood: -4.92961e+06	(delta): 0.0600529
222 (QN/Block) 	Elapsed: 3.739	Loglikelihood: -4.92961e+06	(delta): 0.576106
223 (QN/Block) 	Elapsed: 3.612	Loglikelihood: -4.92961e+06	(delta): 0.328771
224 (QN/Block) 	Elapsed: 3.952	Loglikelihood: -4.9296e+06	(delta): 7.34663
225 (QN/Block) 	Elapsed: 3.736	Loglikelihood: -4.92959e+06	(delta): 8.42489
226 (QN/Block) 	Elapsed: 3.814	Loglikelihood: -4.92959e+06	(delta): -0.0652116
227 (QN/Block) 	Elapsed: 3.882	Loglikelihood: -4.92958e+06	(delta): 7.57678
228 (QN/Block) 	Elapsed: 3.903	Loglikelihood: -4.92958e+06	(delta): -1.04851
229 (QN/Block) 	Elapsed: 3.836	Loglikelihood: -4.92958e+06	(delta): 4.71602
230 (QN/Block) 	Elapsed: 3.703	Loglikelihood: -4.92958e+06	(delta): 0.594692
231 (QN/Block) 	Elapsed: 3.557	Loglikelihood: -4.92958e+06	(delta): 1.39291
